N,M,DCNT,VTH,VGS,VDD,ID,POWER
18,0,1.409476176,-0.305077877,-0.9,-0.2,2.77E-05,-5.54E-06
18,0,1.409476176,-0.305077877,-0.9,-0.3,3.39E-05,-1.02E-05
18,0,1.409476176,-0.305077877,-0.9,-0.4,3.47E-05,-1.39E-05
18,0,1.409476176,-0.305077877,-0.9,-0.5,3.47E-05,-1.73E-05
18,0,1.409476176,-0.305077877,-0.9,-0.6,3.47E-05,-2.08E-05
18,0,1.409476176,-0.305077877,-0.9,-0.7,3.47E-05,-2.43E-05
18,0,1.409476176,-0.305077877,-0.9,-0.8,3.47E-05,-2.77E-05
18,0,1.409476176,-0.305077877,-0.9,-0.9,3.47E-05,-3.12E-05
18,0,1.409476176,-0.305077877,-0.9,-1,3.47E-05,-3.47E-05
18,0,1.409476176,-0.305077877,-1,-0.1,1.54E-05,-1.54E-06
18,0,1.409476176,-0.305077877,-1,-0.2,2.89E-05,-5.78E-06
18,0,1.409476176,-0.305077877,-1,-0.3,3.78E-05,-1.13E-05
18,0,1.409476176,-0.305077877,-1,-0.4,4.01E-05,-1.60E-05
18,0,1.409476176,-0.305077877,-1,-0.5,4.02E-05,-2.01E-05
18,0,1.409476176,-0.305077877,-1,-0.6,4.02E-05,-2.41E-05
18,0,1.409476176,-0.305077877,-1,-0.7,4.02E-05,-2.81E-05
18,0,1.409476176,-0.305077877,-1,-0.8,4.02E-05,-3.22E-05
18,0,1.409476176,-0.305077877,-1,-0.9,4.02E-05,-3.62E-05
18,0,1.409476176,-0.305077877,-1,-1,4.02E-05,-4.02E-05
17,0,1.331171944,-0.323023635,0,-0.1,1.16E-11,-1.16E-12
17,0,1.331171944,-0.323023635,0,-0.2,1.18E-11,-2.36E-12
17,0,1.331171944,-0.323023635,0,-0.3,1.18E-11,-3.54E-12
17,0,1.331171944,-0.323023635,0,-0.4,1.18E-11,-4.72E-12
17,0,1.331171944,-0.323023635,0,-0.5,1.18E-11,-5.90E-12
